,Company,Ticker_1,Ticker_2,ESG score,ESG risk
0,"1-800-FLOWERS.COM, Inc.",NAS,FLWS,28.9,Medium
1,1&1 AG,ETR,1U1,27.7,Medium
2,"10X Genomics, Inc.",NAS,TXG,22.5,Medium
3,11 Bit Studios SA,WAR,11B,16.3,Low
4,1st Source Corp.,NAS,SRCE,35.0,High
5,2020 Bulkers Ltd.,OSL,2020,24.4,Medium
6,23andMe Holding Co.,OTC,MEHCQ,21.4,Medium
7,29metals Ltd.,ASX,29M,38.5,High
8,2i Rete Gas SpA,-,,23.1,Medium
9,"2seventy Bio, Inc.",NAS,TSVT,35.9,High
10,2U LLC,-,,25.3,Medium
11,360 One Wam Ltd.,BOM,542772,24.7,Medium
12,"360 Security Technology, Inc.",SHG,601360,22.1,Medium
13,361 Degrees International Ltd.,HKG,1361,18.1,Low
14,37 Interactive Entertainment Network Technology Group Co. Ltd.,SHE,002555,16.4,Low
15,"374Water, Inc.",NAS,SCWO,29.2,Medium
16,"3D Medicines, Inc.",HKG,1244,32.4,High
17,3D Systems Corp.,NYS,DDD,24.3,Medium
18,3i Group Plc,LON,III,10.4,Low
19,3M Co.,NYS,MMM,43.0,Severe
20,3M India Ltd.,BOM,523395,22.9,Medium
21,"3peak, Inc.",SHG,688536,34.7,High
22,"3SBio, Inc.",HKG,1530,24.0,Medium
23,407 East Development Group GP,-,,44.0,Severe
24,"407 International, Inc.",-,,10.8,Low
25,"4D Molecular Therapeutics, Inc.",NAS,FDMT,35.1,High
26,4imprint Group Plc,LON,FOUR,16.5,Low
27,"5E Advanced Materials, Inc.",NAS,FEAM,42.0,Severe
28,5I5J Holding Group Co. Ltd.,SHE,000560,14.9,Low
29,"7-Eleven, Inc.",-,,33.8,High
30,74Software,PAR,74SW,20.7,Medium
31,"89bio, Inc.",NAS,ETNB,32.9,High
32,"8x8, Inc.",NAS,EGHT,23.2,Medium
33,"908 Devices, Inc.",NAS,MASS,30.2,High
34,"91APP, Inc.",ROCO,6741,20.6,Medium
35,A Sub Above LLC,-,,33.2,High
36,"A-Living Smart City Services Co., Ltd.",HKG,3319,13.3,Low
37,"A-Mark Precious Metals, Inc.",NAS,AMRK,29.0,Medium
38,A. O. Smith Corp.,NYS,AOS,26.8,Medium
39,A.G. BARR Plc,LON,BAG,26.7,Medium
40,A.P. Møller-Mærsk A/S,CSE,MAERSK.B,15.2,Low
